nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,20,20,20,0,0,40,120,flood,10,3_regular
1,0,0,20,0,0,0,0,flood,10,3_regular
2,0,0,20,0,0,0,0,flood,10,3_regular
3,0,0,20,0,0,0,0,flood,10,3_regular
4,0,0,20,0,0,0,0,flood,10,3_regular
5,0,0,60,20,20,0,0,flood,10,3_regular
6,0,0,20,0,0,0,0,flood,10,3_regular
7,0,0,40,20,0,0,0,flood,10,3_regular
8,0,0,40,20,0,0,0,flood,10,3_regular
9,20,0,20,0,20,0,0,flood,10,3_regular
