QueryHitId,Hops,Seconds
1,1,0.00888454
2,2,0.013346
3,2,0.013426
4,2,0.013506
5,2,0.013586
6,2,0.013666
7,2,0.013746
8,2,0.013826
9,2,0.013906
10,2,0.013986
