Topology,Algorithm,Average Tried Requests,Average Unique Query Hits,Average Success Rate,Redundant Query Hits,Average Hops,Average Latency,Average Total Work,Average Wasted Requests,Average Query Hit Efficiency,Count of Zero Work Done Nodes
cluster_6_with_10_nodes_each-disabled,F,1.0,1.0,100%,66%,1.7,1.11×10⁻²,182.0,21%,8%,8.0
cluster_6_with_10_nodes_each-disabled,NF,3.8,0.5,50%,0%,1.3,9.55×10⁻³,53.9,27%,0%,29.1
cluster_6_with_10_nodes_each-disabled,RW,4.4,0.2,25%,0%,2.0,1.22×10⁻²,66.5,31%,0%,26.4
cluster_6_with_20_nodes_each-all,F,1.0,1.0,100%,90%,1.9,1.27×10⁻²,1275.0,13%,15%,0.0
cluster_6_with_20_nodes_each-all,NF,4.0,0.6,60%,0%,3.7,1.94×10⁻²,140.8,38%,1%,67.7
cluster_6_with_20_nodes_each-all,RW,4.0,0.5,45%,2%,2.9,1.65×10⁻²,110.4,28%,1%,78.1
cluster_6_with_20_nodes_each-disabled,F,1.0,1.0,100%,85%,1.9,1.22×10⁻²,597.0,8%,10%,29.0
cluster_6_with_20_nodes_each-disabled,NF,4.5,0.2,25%,0%,2.4,1.47×10⁻²,73.5,20%,0%,68.3
cluster_6_with_20_nodes_each-disabled,RW,4.7,0.2,20%,0%,2.0,1.29×10⁻²,64.8,17%,0%,71.8
cluster_6_with_30_nodes_each-all,F,1.0,1.0,100%,93%,1.9,1.30×10⁻²,2810.0,8%,16%,0.0
cluster_6_with_30_nodes_each-all,NF,4.1,0.4,40%,0%,2.8,1.56×10⁻²,159.9,32%,0%,115.7
cluster_6_with_30_nodes_each-all,RW,4.3,0.5,50%,0%,4.2,2.19×10⁻²,136.4,25%,0%,124.8
cluster_6_with_30_nodes_each-disabled,F,1.0,1.0,100%,90%,1.9,1.24×10⁻²,1799.0,8%,10%,0.0
cluster_6_with_30_nodes_each-disabled,NF,4.7,0.2,20%,0%,1.8,1.19×10⁻²,91.2,17%,0%,109.0
cluster_6_with_30_nodes_each-disabled,RW,4.8,0.1,10%,0%,2.0,1.24×10⁻²,92.2,17%,0%,107.2
cluster_6_with_4_nodes_each-all,F,1.0,1.0,100%,50%,1.5,1.04×10⁻²,67.0,58%,13%,0.0
