nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,10,10,10,0,0,86,258,random_walk,6,cluster
1,0,0,62,52,10,0,0,random_walk,6,cluster
2,0,0,5,4,0,0,0,random_walk,6,cluster
3,0,0,10,7,1,0,0,random_walk,6,cluster
4,0,0,5,3,1,0,0,random_walk,6,cluster
5,0,0,11,7,3,0,0,random_walk,6,cluster
6,0,0,6,4,0,0,0,random_walk,6,cluster
7,0,0,11,8,3,0,0,random_walk,6,cluster
8,0,0,9,8,1,0,0,random_walk,6,cluster
9,0,0,5,4,0,0,0,random_walk,6,cluster
10,0,0,3,2,0,0,0,random_walk,6,cluster
11,0,0,3,2,0,0,0,random_walk,6,cluster
12,0,0,11,7,1,0,0,random_walk,6,cluster
13,0,0,10,8,2,0,0,random_walk,6,cluster
14,0,0,13,8,4,0,0,random_walk,6,cluster
15,0,0,14,9,2,0,0,random_walk,6,cluster
16,0,0,3,3,0,0,0,random_walk,6,cluster
17,0,0,5,2,1,0,0,random_walk,6,cluster
18,10,0,10,0,10,0,0,random_walk,6,cluster
19,0,0,4,4,0,0,0,random_walk,6,cluster
20,0,0,15,11,3,0,0,random_walk,6,cluster
21,0,0,5,4,0,0,0,random_walk,6,cluster
22,0,0,9,6,2,0,0,random_walk,6,cluster
23,0,0,7,6,1,0,0,random_walk,6,cluster
24,0,0,9,6,1,0,0,random_walk,6,cluster
25,0,0,10,7,1,0,0,random_walk,6,cluster
26,0,0,6,5,1,0,0,random_walk,6,cluster
27,0,0,10,7,2,0,0,random_walk,6,cluster
28,0,0,6,5,1,0,0,random_walk,6,cluster
29,0,0,11,9,1,0,0,random_walk,6,cluster
30,0,0,9,8,0,0,0,random_walk,6,cluster
31,0,0,38,38,0,0,0,random_walk,6,cluster
32,0,0,10,9,0,0,0,random_walk,6,cluster
33,0,0,7,6,0,0,0,random_walk,6,cluster
34,0,0,6,4,0,0,0,random_walk,6,cluster
35,0,0,6,5,0,0,0,random_walk,6,cluster
36,0,0,3,2,0,0,0,random_walk,6,cluster
37,0,0,9,9,0,0,0,random_walk,6,cluster
38,0,0,9,8,0,0,0,random_walk,6,cluster
39,0,0,5,4,0,0,0,random_walk,6,cluster
40,0,0,7,6,0,0,0,random_walk,6,cluster
41,0,0,9,8,0,0,0,random_walk,6,cluster
42,0,0,8,8,0,0,0,random_walk,6,cluster
43,0,0,4,3,0,0,0,random_walk,6,cluster
44,0,0,7,7,0,0,0,random_walk,6,cluster
45,0,0,3,3,0,0,0,random_walk,6,cluster
46,0,0,4,4,0,0,0,random_walk,6,cluster
47,0,0,8,5,0,0,0,random_walk,6,cluster
