nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,60,40,60,0,0,40,120,flood,50,3_regular
1,0,0,80,40,20,0,0,flood,50,3_regular
2,0,0,60,60,0,0,0,flood,50,3_regular
3,0,0,40,40,0,0,0,flood,50,3_regular
4,0,0,80,40,20,0,0,flood,50,3_regular
5,0,0,40,40,0,0,0,flood,50,3_regular
6,0,0,60,40,20,0,0,flood,50,3_regular
7,0,0,80,60,0,0,0,flood,50,3_regular
8,0,0,80,60,20,0,0,flood,50,3_regular
9,60,0,60,0,60,0,0,flood,50,3_regular
10,0,0,80,80,0,0,0,flood,50,3_regular
11,0,0,60,40,0,0,0,flood,50,3_regular
12,0,0,60,40,20,0,0,flood,50,3_regular
13,0,0,60,60,0,0,0,flood,50,3_regular
14,0,0,80,40,20,0,0,flood,50,3_regular
15,0,0,120,80,0,0,0,flood,50,3_regular
16,0,0,100,80,0,0,0,flood,50,3_regular
17,0,0,60,40,0,0,0,flood,50,3_regular
18,0,0,80,80,0,0,0,flood,50,3_regular
19,0,0,80,40,20,0,0,flood,50,3_regular
20,0,0,40,40,0,0,0,flood,50,3_regular
21,0,0,40,40,0,0,0,flood,50,3_regular
22,0,0,60,60,0,0,0,flood,50,3_regular
23,0,0,60,40,20,0,0,flood,50,3_regular
24,0,0,40,40,0,0,0,flood,50,3_regular
25,0,0,80,40,0,0,0,flood,50,3_regular
26,0,0,80,60,20,0,0,flood,50,3_regular
27,0,0,60,40,0,0,0,flood,50,3_regular
28,0,0,80,80,0,0,0,flood,50,3_regular
29,0,0,60,20,20,0,0,flood,50,3_regular
30,0,0,60,60,0,0,0,flood,50,3_regular
31,0,0,60,60,0,0,0,flood,50,3_regular
32,0,0,60,40,20,0,0,flood,50,3_regular
33,0,0,80,60,0,0,0,flood,50,3_regular
34,0,0,100,100,0,0,0,flood,50,3_regular
35,0,0,60,60,0,0,0,flood,50,3_regular
36,0,0,80,40,40,0,0,flood,50,3_regular
37,0,0,80,40,20,0,0,flood,50,3_regular
38,0,0,100,80,0,0,0,flood,50,3_regular
39,0,0,80,60,20,0,0,flood,50,3_regular
40,0,0,80,60,20,0,0,flood,50,3_regular
41,0,0,60,40,0,0,0,flood,50,3_regular
42,0,0,80,80,0,0,0,flood,50,3_regular
43,0,0,80,60,0,0,0,flood,50,3_regular
44,0,0,100,60,20,0,0,flood,50,3_regular
45,0,0,80,60,20,0,0,flood,50,3_regular
46,0,0,100,60,20,0,0,flood,50,3_regular
47,0,0,80,40,20,0,0,flood,50,3_regular
48,0,0,60,40,0,0,0,flood,50,3_regular
49,0,0,100,40,20,0,0,flood,50,3_regular
