nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,20,20,20,0,0,87,435,random_walk,50,3_regular
1,0,0,107,98,5,0,0,random_walk,50,3_regular
2,0,0,55,50,1,0,0,random_walk,50,3_regular
3,0,0,27,18,6,0,0,random_walk,50,3_regular
4,0,0,34,24,7,0,0,random_walk,50,3_regular
5,0,0,179,174,4,0,0,random_walk,50,3_regular
6,0,0,163,148,9,0,0,random_walk,50,3_regular
7,0,0,70,56,3,0,0,random_walk,50,3_regular
8,0,0,130,115,2,0,0,random_walk,50,3_regular
9,20,0,20,0,20,0,0,random_walk,50,3_regular
10,0,0,56,45,5,0,0,random_walk,50,3_regular
11,0,0,35,24,1,0,0,random_walk,50,3_regular
12,0,0,24,15,8,0,0,random_walk,50,3_regular
13,0,0,44,35,4,0,0,random_walk,50,3_regular
14,0,0,45,30,7,0,0,random_walk,50,3_regular
15,0,0,74,62,2,0,0,random_walk,50,3_regular
16,0,0,65,58,2,0,0,random_walk,50,3_regular
17,0,0,61,42,2,0,0,random_walk,50,3_regular
18,0,0,65,55,3,0,0,random_walk,50,3_regular
19,0,0,73,51,4,0,0,random_walk,50,3_regular
20,0,0,33,21,6,0,0,random_walk,50,3_regular
21,0,0,98,91,1,0,0,random_walk,50,3_regular
22,0,0,34,30,3,0,0,random_walk,50,3_regular
23,0,0,29,18,3,0,0,random_walk,50,3_regular
24,0,0,105,95,6,0,0,random_walk,50,3_regular
25,0,0,48,43,1,0,0,random_walk,50,3_regular
26,0,0,48,37,2,0,0,random_walk,50,3_regular
27,0,0,42,33,6,0,0,random_walk,50,3_regular
28,0,0,79,62,1,0,0,random_walk,50,3_regular
29,0,0,22,12,8,0,0,random_walk,50,3_regular
30,0,0,65,53,0,0,0,random_walk,50,3_regular
31,0,0,40,34,1,0,0,random_walk,50,3_regular
32,0,0,24,14,7,0,0,random_walk,50,3_regular
33,0,0,37,35,1,0,0,random_walk,50,3_regular
34,0,0,74,67,3,0,0,random_walk,50,3_regular
35,0,0,135,116,3,0,0,random_walk,50,3_regular
36,0,0,187,176,7,0,0,random_walk,50,3_regular
37,0,0,46,38,6,0,0,random_walk,50,3_regular
38,0,0,87,72,3,0,0,random_walk,50,3_regular
39,0,0,107,98,3,0,0,random_walk,50,3_regular
40,0,0,81,61,3,0,0,random_walk,50,3_regular
41,0,0,42,32,0,0,0,random_walk,50,3_regular
42,0,0,60,49,2,0,0,random_walk,50,3_regular
43,0,0,48,41,2,0,0,random_walk,50,3_regular
44,0,0,30,21,2,0,0,random_walk,50,3_regular
45,0,0,66,56,4,0,0,random_walk,50,3_regular
46,0,0,91,75,4,0,0,random_walk,50,3_regular
47,0,0,32,19,3,0,0,random_walk,50,3_regular
48,0,0,65,44,3,0,0,random_walk,50,3_regular
49,0,0,33,24,2,0,0,random_walk,50,3_regular
