nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,6,6,6,0,0,91,91,normalized_flood,50,tree_with
1,0,0,54,54,0,0,0,normalized_flood,50,tree_with
2,0,0,43,37,6,0,0,normalized_flood,50,tree_with
3,0,0,27,27,0,0,0,normalized_flood,50,tree_with
4,0,0,27,27,0,0,0,normalized_flood,50,tree_with
5,0,0,27,21,6,0,0,normalized_flood,50,tree_with
6,0,0,16,16,0,0,0,normalized_flood,50,tree_with
7,0,0,17,14,0,0,0,normalized_flood,50,tree_with
8,0,0,10,9,0,0,0,normalized_flood,50,tree_with
9,0,0,15,11,0,0,0,normalized_flood,50,tree_with
10,0,0,12,8,0,0,0,normalized_flood,50,tree_with
11,0,0,18,11,6,0,0,normalized_flood,50,tree_with
12,0,0,9,6,0,0,0,normalized_flood,50,tree_with
13,0,0,8,4,0,0,0,normalized_flood,50,tree_with
14,0,0,8,8,0,0,0,normalized_flood,50,tree_with
15,0,0,7,7,0,0,0,normalized_flood,50,tree_with
16,0,0,7,7,0,0,0,normalized_flood,50,tree_with
17,0,0,4,4,0,0,0,normalized_flood,50,tree_with
18,0,0,5,5,0,0,0,normalized_flood,50,tree_with
19,0,0,5,5,0,0,0,normalized_flood,50,tree_with
20,0,0,6,6,0,0,0,normalized_flood,50,tree_with
21,0,0,5,5,0,0,0,normalized_flood,50,tree_with
22,0,0,3,3,0,0,0,normalized_flood,50,tree_with
23,0,0,5,5,0,0,0,normalized_flood,50,tree_with
24,0,0,12,6,6,0,0,normalized_flood,50,tree_with
25,0,0,1,0,0,0,0,normalized_flood,50,tree_with
26,0,0,5,0,0,0,0,normalized_flood,50,tree_with
27,0,0,4,0,0,0,0,normalized_flood,50,tree_with
28,0,0,0,0,0,0,0,normalized_flood,50,tree_with
29,0,0,4,0,0,0,0,normalized_flood,50,tree_with
30,0,0,4,0,0,0,0,normalized_flood,50,tree_with
31,0,0,6,0,0,0,0,normalized_flood,50,tree_with
32,0,0,1,0,0,0,0,normalized_flood,50,tree_with
33,0,0,3,0,0,0,0,normalized_flood,50,tree_with
34,0,0,4,0,0,0,0,normalized_flood,50,tree_with
35,0,0,2,0,0,0,0,normalized_flood,50,tree_with
36,0,0,2,0,0,0,0,normalized_flood,50,tree_with
37,0,0,3,0,0,0,0,normalized_flood,50,tree_with
38,0,0,2,0,0,0,0,normalized_flood,50,tree_with
39,0,0,2,0,0,0,0,normalized_flood,50,tree_with
40,0,0,3,0,0,0,0,normalized_flood,50,tree_with
41,0,0,2,0,0,0,0,normalized_flood,50,tree_with
42,0,0,4,0,0,0,0,normalized_flood,50,tree_with
43,0,0,3,0,0,0,0,normalized_flood,50,tree_with
44,0,0,2,0,0,0,0,normalized_flood,50,tree_with
45,0,0,1,0,0,0,0,normalized_flood,50,tree_with
46,0,0,2,0,0,0,0,normalized_flood,50,tree_with
47,0,0,1,0,0,0,0,normalized_flood,50,tree_with
48,0,0,4,0,0,0,0,normalized_flood,50,tree_with
49,6,0,6,0,6,0,0,normalized_flood,50,tree_with
