nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,11,11,11,0,0,76,152,normalized_flood,3,megagraph
1,0,0,49,49,0,0,0,normalized_flood,3,megagraph
2,0,0,10,10,0,0,0,normalized_flood,3,megagraph
3,0,0,6,5,0,0,0,normalized_flood,3,megagraph
4,0,0,8,6,0,0,0,normalized_flood,3,megagraph
5,0,0,5,4,0,0,0,normalized_flood,3,megagraph
6,0,0,11,11,0,0,0,normalized_flood,3,megagraph
7,0,0,8,6,0,0,0,normalized_flood,3,megagraph
8,0,0,7,7,0,0,0,normalized_flood,3,megagraph
9,0,0,8,7,0,0,0,normalized_flood,3,megagraph
10,0,0,10,10,0,0,0,normalized_flood,3,megagraph
11,0,0,5,4,0,0,0,normalized_flood,3,megagraph
12,0,0,7,5,0,0,0,normalized_flood,3,megagraph
13,0,0,6,5,0,0,0,normalized_flood,3,megagraph
14,0,0,18,18,0,0,0,normalized_flood,3,megagraph
15,0,0,13,10,0,0,0,normalized_flood,3,megagraph
16,0,0,11,10,0,0,0,normalized_flood,3,megagraph
17,0,0,12,10,0,0,0,normalized_flood,3,megagraph
18,0,0,45,45,0,0,0,normalized_flood,3,megagraph
19,0,0,11,11,0,0,0,normalized_flood,3,megagraph
20,0,0,9,8,0,0,0,normalized_flood,3,megagraph
21,0,0,10,9,0,0,0,normalized_flood,3,megagraph
22,0,0,8,8,0,0,0,normalized_flood,3,megagraph
23,0,0,13,13,0,0,0,normalized_flood,3,megagraph
24,0,0,10,9,0,0,0,normalized_flood,3,megagraph
25,0,0,9,8,0,0,0,normalized_flood,3,megagraph
26,0,0,11,11,0,0,0,normalized_flood,3,megagraph
27,0,0,11,11,0,0,0,normalized_flood,3,megagraph
28,0,0,8,7,0,0,0,normalized_flood,3,megagraph
29,0,0,7,7,0,0,0,normalized_flood,3,megagraph
30,0,0,10,8,0,0,0,normalized_flood,3,megagraph
31,0,0,10,10,0,0,0,normalized_flood,3,megagraph
32,0,0,7,7,0,0,0,normalized_flood,3,megagraph
33,0,0,8,8,0,0,0,normalized_flood,3,megagraph
34,0,0,9,7,0,0,0,normalized_flood,3,megagraph
35,0,0,69,58,11,0,0,normalized_flood,3,megagraph
36,0,0,10,10,0,0,0,normalized_flood,3,megagraph
37,0,0,6,5,0,0,0,normalized_flood,3,megagraph
38,0,0,7,6,0,0,0,normalized_flood,3,megagraph
39,0,0,6,4,0,0,0,normalized_flood,3,megagraph
40,0,0,20,20,0,0,0,normalized_flood,3,megagraph
41,0,0,12,12,0,0,0,normalized_flood,3,megagraph
42,0,0,16,14,0,0,0,normalized_flood,3,megagraph
43,0,0,15,14,0,0,0,normalized_flood,3,megagraph
44,0,0,28,17,11,0,0,normalized_flood,3,megagraph
45,0,0,11,5,4,0,0,normalized_flood,3,megagraph
46,0,0,14,6,5,0,0,normalized_flood,3,megagraph
47,11,0,11,0,11,0,0,normalized_flood,3,megagraph
48,0,0,11,11,0,0,0,normalized_flood,3,megagraph
49,0,0,8,8,0,0,0,normalized_flood,3,megagraph
50,0,0,8,7,0,0,0,normalized_flood,3,megagraph
51,0,0,8,8,0,0,0,normalized_flood,3,megagraph
