nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,16,15,16,0,0,75,375,random_walk,200,4_regular
1,0,0,4,2,0,0,0,random_walk,200,4_regular
2,0,0,1,0,0,0,0,random_walk,200,4_regular
3,0,0,7,3,0,0,0,random_walk,200,4_regular
4,0,0,6,3,0,0,0,random_walk,200,4_regular
5,0,0,5,5,0,0,0,random_walk,200,4_regular
6,0,0,1,1,0,0,0,random_walk,200,4_regular
7,0,0,9,8,0,0,0,random_walk,200,4_regular
8,0,0,7,6,0,0,0,random_walk,200,4_regular
9,0,0,5,4,0,0,0,random_walk,200,4_regular
10,0,0,5,4,0,0,0,random_walk,200,4_regular
11,0,0,15,14,0,0,0,random_walk,200,4_regular
12,0,0,7,6,0,0,0,random_walk,200,4_regular
13,0,0,5,4,0,0,0,random_walk,200,4_regular
14,0,0,3,2,0,0,0,random_walk,200,4_regular
15,0,0,4,4,0,0,0,random_walk,200,4_regular
16,0,0,13,13,0,0,0,random_walk,200,4_regular
17,0,0,16,15,0,0,0,random_walk,200,4_regular
18,0,0,4,1,0,0,0,random_walk,200,4_regular
19,0,0,2,0,0,0,0,random_walk,200,4_regular
20,0,0,9,6,0,0,0,random_walk,200,4_regular
21,0,0,5,5,0,0,0,random_walk,200,4_regular
22,0,0,17,15,0,0,0,random_walk,200,4_regular
23,0,0,7,3,0,0,0,random_walk,200,4_regular
24,0,0,4,4,0,0,0,random_walk,200,4_regular
25,0,0,3,2,0,0,0,random_walk,200,4_regular
26,0,0,9,7,0,0,0,random_walk,200,4_regular
27,0,0,4,4,0,0,0,random_walk,200,4_regular
28,0,0,2,2,0,0,0,random_walk,200,4_regular
29,0,0,6,6,0,0,0,random_walk,200,4_regular
30,0,0,5,4,0,0,0,random_walk,200,4_regular
31,0,0,12,12,0,0,0,random_walk,200,4_regular
32,0,0,10,8,0,0,0,random_walk,200,4_regular
33,0,0,4,3,0,0,0,random_walk,200,4_regular
34,0,0,5,4,0,0,0,random_walk,200,4_regular
35,0,0,9,6,1,0,0,random_walk,200,4_regular
36,0,0,5,4,0,0,0,random_walk,200,4_regular
37,0,0,7,5,0,0,0,random_walk,200,4_regular
38,0,0,3,3,0,0,0,random_walk,200,4_regular
39,0,0,5,4,0,0,0,random_walk,200,4_regular
40,0,0,7,5,0,0,0,random_walk,200,4_regular
41,0,0,33,22,1,0,0,random_walk,200,4_regular
42,0,0,3,3,0,0,0,random_walk,200,4_regular
43,0,0,3,1,0,0,0,random_walk,200,4_regular
44,0,0,0,0,0,0,0,random_walk,200,4_regular
45,0,0,3,2,0,0,0,random_walk,200,4_regular
46,0,0,9,3,0,0,0,random_walk,200,4_regular
47,0,0,28,21,0,0,0,random_walk,200,4_regular
48,0,0,6,6,0,0,0,random_walk,200,4_regular
49,0,0,5,4,0,0,0,random_walk,200,4_regular
50,0,0,3,2,0,0,0,random_walk,200,4_regular
51,0,0,5,4,0,0,0,random_walk,200,4_regular
52,0,0,5,3,0,0,0,random_walk,200,4_regular
53,0,0,13,10,0,0,0,random_walk,200,4_regular
54,0,0,3,1,0,0,0,random_walk,200,4_regular
55,0,0,10,8,0,0,0,random_walk,200,4_regular
56,0,0,2,1,0,0,0,random_walk,200,4_regular
57,0,0,4,3,0,0,0,random_walk,200,4_regular
58,0,0,4,4,0,0,0,random_walk,200,4_regular
59,0,0,3,3,0,0,0,random_walk,200,4_regular
60,0,0,6,4,0,0,0,random_walk,200,4_regular
61,0,0,15,15,0,0,0,random_walk,200,4_regular
62,0,0,3,3,0,0,0,random_walk,200,4_regular
63,0,0,4,3,0,0,0,random_walk,200,4_regular
64,0,0,7,7,0,0,0,random_walk,200,4_regular
65,0,0,1,1,0,0,0,random_walk,200,4_regular
66,0,0,12,11,0,0,0,random_walk,200,4_regular
67,0,0,3,3,0,0,0,random_walk,200,4_regular
68,0,0,6,5,0,0,0,random_walk,200,4_regular
69,0,0,4,2,0,0,0,random_walk,200,4_regular
70,0,0,7,5,0,0,0,random_walk,200,4_regular
71,0,0,16,14,0,0,0,random_walk,200,4_regular
72,0,0,2,1,0,0,0,random_walk,200,4_regular
73,0,0,8,4,0,0,0,random_walk,200,4_regular
74,0,0,81,80,1,0,0,random_walk,200,4_regular
75,0,0,14,12,0,0,0,random_walk,200,4_regular
76,0,0,8,6,0,0,0,random_walk,200,4_regular
77,0,0,1,1,0,0,0,random_walk,200,4_regular
78,0,0,6,5,0,0,0,random_walk,200,4_regular
79,0,0,6,3,0,0,0,random_walk,200,4_regular
80,0,0,4,2,0,0,0,random_walk,200,4_regular
81,0,0,5,5,0,0,0,random_walk,200,4_regular
82,0,0,7,5,0,0,0,random_walk,200,4_regular
83,0,0,4,3,0,0,0,random_walk,200,4_regular
84,0,0,1,1,0,0,0,random_walk,200,4_regular
85,0,0,49,33,0,0,0,random_walk,200,4_regular
86,0,0,6,5,0,0,0,random_walk,200,4_regular
87,0,0,37,28,0,0,0,random_walk,200,4_regular
88,0,0,52,40,4,0,0,random_walk,200,4_regular
89,0,0,11,6,0,0,0,random_walk,200,4_regular
90,0,0,2,1,0,0,0,random_walk,200,4_regular
91,0,0,6,6,0,0,0,random_walk,200,4_regular
92,0,0,5,4,0,0,0,random_walk,200,4_regular
93,0,0,5,5,0,0,0,random_walk,200,4_regular
94,0,0,2,2,0,0,0,random_walk,200,4_regular
95,0,0,9,5,0,0,0,random_walk,200,4_regular
96,0,0,3,2,0,0,0,random_walk,200,4_regular
97,0,0,45,31,0,0,0,random_walk,200,4_regular
98,0,0,8,8,0,0,0,random_walk,200,4_regular
99,0,0,1,1,0,0,0,random_walk,200,4_regular
100,0,0,20,16,1,0,0,random_walk,200,4_regular
101,0,0,3,2,0,0,0,random_walk,200,4_regular
102,0,0,4,3,0,0,0,random_walk,200,4_regular
103,0,0,9,6,0,0,0,random_walk,200,4_regular
104,0,0,6,6,0,0,0,random_walk,200,4_regular
105,0,0,11,9,0,0,0,random_walk,200,4_regular
106,0,0,12,10,0,0,0,random_walk,200,4_regular
107,0,0,6,6,0,0,0,random_walk,200,4_regular
108,0,0,8,7,0,0,0,random_walk,200,4_regular
109,0,0,9,7,0,0,0,random_walk,200,4_regular
110,0,0,87,86,1,0,0,random_walk,200,4_regular
111,0,0,5,4,0,0,0,random_walk,200,4_regular
112,0,0,3,3,0,0,0,random_walk,200,4_regular
113,0,0,1,1,0,0,0,random_walk,200,4_regular
114,0,0,10,8,0,0,0,random_walk,200,4_regular
115,0,0,8,5,0,0,0,random_walk,200,4_regular
116,0,0,134,120,14,0,0,random_walk,200,4_regular
117,0,0,2,2,0,0,0,random_walk,200,4_regular
118,0,0,2,1,0,0,0,random_walk,200,4_regular
119,0,0,2,2,0,0,0,random_walk,200,4_regular
120,0,0,26,14,0,0,0,random_walk,200,4_regular
121,0,0,16,12,0,0,0,random_walk,200,4_regular
122,0,0,3,1,0,0,0,random_walk,200,4_regular
123,0,0,10,10,0,0,0,random_walk,200,4_regular
124,0,0,16,12,0,0,0,random_walk,200,4_regular
125,0,0,7,7,0,0,0,random_walk,200,4_regular
126,0,0,4,4,0,0,0,random_walk,200,4_regular
127,0,0,7,6,0,0,0,random_walk,200,4_regular
128,0,0,12,11,0,0,0,random_walk,200,4_regular
129,0,0,12,9,2,0,0,random_walk,200,4_regular
130,0,0,108,107,0,0,0,random_walk,200,4_regular
131,0,0,4,3,0,0,0,random_walk,200,4_regular
132,0,0,5,5,0,0,0,random_walk,200,4_regular
