nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,12,12,12,0,0,86,258,normalized_flood,200,5_regular
1,0,0,11,10,0,0,0,normalized_flood,200,5_regular
2,0,0,10,8,1,0,0,normalized_flood,200,5_regular
3,0,0,7,6,0,0,0,normalized_flood,200,5_regular
4,0,0,11,8,1,0,0,normalized_flood,200,5_regular
5,0,0,20,18,2,0,0,normalized_flood,200,5_regular
6,0,0,8,8,0,0,0,normalized_flood,200,5_regular
7,0,0,12,10,0,0,0,normalized_flood,200,5_regular
8,0,0,9,9,0,0,0,normalized_flood,200,5_regular
9,0,0,16,12,1,0,0,normalized_flood,200,5_regular
10,0,0,12,10,0,0,0,normalized_flood,200,5_regular
11,0,0,3,3,0,0,0,normalized_flood,200,5_regular
12,0,0,30,27,1,0,0,normalized_flood,200,5_regular
13,0,0,32,30,2,0,0,normalized_flood,200,5_regular
14,0,0,10,8,0,0,0,normalized_flood,200,5_regular
15,0,0,74,67,6,0,0,normalized_flood,200,5_regular
16,0,0,9,9,0,0,0,normalized_flood,200,5_regular
17,0,0,12,11,0,0,0,normalized_flood,200,5_regular
18,0,0,10,10,0,0,0,normalized_flood,200,5_regular
19,0,0,8,6,0,0,0,normalized_flood,200,5_regular
20,0,0,26,24,2,0,0,normalized_flood,200,5_regular
21,0,0,8,8,0,0,0,normalized_flood,200,5_regular
22,0,0,10,10,0,0,0,normalized_flood,200,5_regular
23,0,0,11,10,1,0,0,normalized_flood,200,5_regular
24,0,0,20,17,1,0,0,normalized_flood,200,5_regular
25,0,0,10,10,0,0,0,normalized_flood,200,5_regular
26,0,0,14,14,0,0,0,normalized_flood,200,5_regular
27,0,0,12,9,0,0,0,normalized_flood,200,5_regular
28,0,0,15,13,2,0,0,normalized_flood,200,5_regular
29,0,0,16,11,2,0,0,normalized_flood,200,5_regular
30,0,0,21,19,2,0,0,normalized_flood,200,5_regular
31,0,0,9,7,0,0,0,normalized_flood,200,5_regular
32,0,0,14,11,1,0,0,normalized_flood,200,5_regular
33,0,0,5,4,0,0,0,normalized_flood,200,5_regular
34,0,0,6,6,0,0,0,normalized_flood,200,5_regular
35,0,0,15,15,0,0,0,normalized_flood,200,5_regular
36,0,0,15,14,0,0,0,normalized_flood,200,5_regular
37,0,0,11,11,0,0,0,normalized_flood,200,5_regular
