nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
115,0,0,520,220,0,0,0,flood,200,5_regular
116,0,0,420,220,20,0,0,flood,200,5_regular
117,0,0,460,260,0,0,0,flood,200,5_regular
118,0,0,440,220,0,0,0,flood,200,5_regular
119,0,0,460,220,20,0,0,flood,200,5_regular
120,0,0,480,220,0,0,0,flood,200,5_regular
121,0,0,460,200,60,0,0,flood,200,5_regular
122,0,0,500,200,60,0,0,flood,200,5_regular
123,0,0,500,280,0,0,0,flood,200,5_regular
124,0,0,500,220,0,0,0,flood,200,5_regular
125,0,0,460,220,0,0,0,flood,200,5_regular
126,0,0,500,260,0,0,0,flood,200,5_regular
127,0,0,480,240,0,0,0,flood,200,5_regular
128,0,0,500,240,0,0,0,flood,200,5_regular
129,0,0,400,220,0,0,0,flood,200,5_regular
130,0,0,440,220,0,0,0,flood,200,5_regular
131,0,0,500,240,40,0,0,flood,200,5_regular
132,0,0,480,260,0,0,0,flood,200,5_regular
133,0,0,460,220,0,0,0,flood,200,5_regular
134,0,0,480,220,0,0,0,flood,200,5_regular
135,0,0,540,220,0,0,0,flood,200,5_regular
136,0,0,420,240,20,0,0,flood,200,5_regular
137,0,0,480,200,0,0,0,flood,200,5_regular
138,0,0,420,200,0,0,0,flood,200,5_regular
139,0,0,440,220,0,0,0,flood,200,5_regular
140,0,0,500,240,0,0,0,flood,200,5_regular
141,0,0,480,120,180,0,0,flood,200,5_regular
142,0,0,500,240,0,0,0,flood,200,5_regular
143,0,0,460,220,0,0,0,flood,200,5_regular
144,0,0,440,240,20,0,0,flood,200,5_regular
145,0,0,480,200,80,0,0,flood,200,5_regular
146,0,0,460,220,0,0,0,flood,200,5_regular
147,0,0,460,260,20,0,0,flood,200,5_regular
148,0,0,400,220,0,0,0,flood,200,5_regular
149,0,0,420,160,80,0,0,flood,200,5_regular
150,0,0,460,200,80,0,0,flood,200,5_regular
151,0,0,480,200,0,0,0,flood,200,5_regular
152,0,0,440,160,100,0,0,flood,200,5_regular
153,0,0,480,220,0,0,0,flood,200,5_regular
154,0,0,460,280,0,0,0,flood,200,5_regular
155,0,0,440,200,0,0,0,flood,200,5_regular
156,0,0,440,200,0,0,0,flood,200,5_regular
157,0,0,440,200,0,0,0,flood,200,5_regular
158,0,0,460,220,0,0,0,flood,200,5_regular
159,0,0,480,240,0,0,0,flood,200,5_regular
160,0,0,420,160,0,0,0,flood,200,5_regular
161,0,0,520,220,40,0,0,flood,200,5_regular
162,0,0,460,220,80,0,0,flood,200,5_regular
163,0,0,460,260,0,0,0,flood,200,5_regular
164,0,0,420,180,0,0,0,flood,200,5_regular
165,0,0,480,260,0,0,0,flood,200,5_regular
166,0,0,480,240,0,0,0,flood,200,5_regular
167,0,0,380,200,0,0,0,flood,200,5_regular
168,0,0,420,220,0,0,0,flood,200,5_regular
169,0,0,440,200,20,0,0,flood,200,5_regular
170,0,0,480,280,0,0,0,flood,200,5_regular
171,0,0,480,220,0,0,0,flood,200,5_regular
172,0,0,500,280,0,0,0,flood,200,5_regular
173,0,0,480,260,0,0,0,flood,200,5_regular
174,0,0,500,260,0,0,0,flood,200,5_regular
175,0,0,460,220,40,0,0,flood,200,5_regular
176,0,0,460,220,0,0,0,flood,200,5_regular
177,0,0,460,220,0,0,0,flood,200,5_regular
178,0,0,520,240,0,0,0,flood,200,5_regular
179,0,0,460,260,0,0,0,flood,200,5_regular
180,0,0,360,200,20,0,0,flood,200,5_regular
181,0,0,460,260,0,0,0,flood,200,5_regular
182,0,0,540,200,160,0,0,flood,200,5_regular
183,0,0,500,260,0,0,0,flood,200,5_regular
184,0,0,480,180,60,0,0,flood,200,5_regular
185,0,0,460,220,40,0,0,flood,200,5_regular
186,0,0,460,180,100,0,0,flood,200,5_regular
187,0,0,540,240,20,0,0,flood,200,5_regular
188,0,0,500,260,0,0,0,flood,200,5_regular
189,0,0,440,220,0,0,0,flood,200,5_regular
190,0,0,500,220,40,0,0,flood,200,5_regular
191,0,0,460,200,20,0,0,flood,200,5_regular
192,0,0,480,240,0,0,0,flood,200,5_regular
193,0,0,500,200,40,0,0,flood,200,5_regular
194,0,0,460,220,0,0,0,flood,200,5_regular
195,0,0,440,200,20,0,0,flood,200,5_regular
196,0,0,500,260,0,0,0,flood,200,5_regular
197,480,0,480,0,480,0,0,flood,200,5_regular
198,0,0,400,220,0,0,0,flood,200,5_regular
199,0,0,440,200,0,0,0,flood,200,5_regular
