nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,16,16,16,0,0,76,152,random_walk,40,3_regular
1,0,0,14,11,2,0,0,random_walk,40,3_regular
2,0,0,12,7,2,0,0,random_walk,40,3_regular
3,0,0,12,9,0,0,0,random_walk,40,3_regular
4,0,0,6,5,0,0,0,random_walk,40,3_regular
5,0,0,9,7,2,0,0,random_walk,40,3_regular
6,0,0,18,13,4,0,0,random_walk,40,3_regular
7,0,0,14,9,5,0,0,random_walk,40,3_regular
8,0,0,18,14,0,0,0,random_walk,40,3_regular
9,0,0,10,6,1,0,0,random_walk,40,3_regular
10,0,0,14,12,1,0,0,random_walk,40,3_regular
11,0,0,48,39,9,0,0,random_walk,40,3_regular
12,0,0,40,39,1,0,0,random_walk,40,3_regular
13,0,0,70,64,1,0,0,random_walk,40,3_regular
14,0,0,7,4,2,0,0,random_walk,40,3_regular
15,0,0,11,7,1,0,0,random_walk,40,3_regular
16,0,0,64,59,3,0,0,random_walk,40,3_regular
17,0,0,19,18,0,0,0,random_walk,40,3_regular
18,16,0,16,0,16,0,0,random_walk,40,3_regular
19,0,0,20,10,7,0,0,random_walk,40,3_regular
20,0,0,25,20,1,0,0,random_walk,40,3_regular
21,0,0,11,8,2,0,0,random_walk,40,3_regular
22,0,0,27,18,1,0,0,random_walk,40,3_regular
23,0,0,33,31,1,0,0,random_walk,40,3_regular
24,0,0,30,19,8,0,0,random_walk,40,3_regular
25,0,0,10,7,1,0,0,random_walk,40,3_regular
26,0,0,44,35,5,0,0,random_walk,40,3_regular
27,0,0,23,15,4,0,0,random_walk,40,3_regular
28,0,0,19,15,1,0,0,random_walk,40,3_regular
29,0,0,14,12,2,0,0,random_walk,40,3_regular
30,0,0,75,62,12,0,0,random_walk,40,3_regular
31,0,0,44,30,4,0,0,random_walk,40,3_regular
32,0,0,17,16,0,0,0,random_walk,40,3_regular
33,0,0,74,66,3,0,0,random_walk,40,3_regular
34,0,0,34,24,3,0,0,random_walk,40,3_regular
35,0,0,28,23,3,0,0,random_walk,40,3_regular
36,0,0,14,8,4,0,0,random_walk,40,3_regular
37,0,0,12,8,1,0,0,random_walk,40,3_regular
38,0,0,10,9,0,0,0,random_walk,40,3_regular
39,0,0,13,8,2,0,0,random_walk,40,3_regular
