nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,20,20,20,0,0,20,40,flood,10,tree_with
1,0,0,40,20,20,0,0,flood,10,tree_with
2,0,0,20,20,0,0,0,flood,10,tree_with
3,0,0,20,20,0,0,0,flood,10,tree_with
4,0,0,40,20,20,0,0,flood,10,tree_with
5,0,0,20,0,0,0,0,flood,10,tree_with
6,0,0,20,0,0,0,0,flood,10,tree_with
7,0,0,20,0,0,0,0,flood,10,tree_with
8,0,0,20,0,0,0,0,flood,10,tree_with
9,20,0,20,0,20,0,0,flood,10,tree_with
