nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,7,7,7,0,0,90,270,random_walk,40,tree_with
1,0,0,131,124,7,0,0,random_walk,40,tree_with
2,0,0,146,146,0,0,0,random_walk,40,tree_with
3,0,0,59,45,0,0,0,random_walk,40,tree_with
4,0,0,72,48,7,0,0,random_walk,40,tree_with
5,0,0,75,59,0,0,0,random_walk,40,tree_with
6,0,0,71,58,0,0,0,random_walk,40,tree_with
7,0,0,23,23,0,0,0,random_walk,40,tree_with
8,0,0,22,22,0,0,0,random_walk,40,tree_with
9,0,0,27,20,7,0,0,random_walk,40,tree_with
10,0,0,28,28,0,0,0,random_walk,40,tree_with
11,0,0,28,28,0,0,0,random_walk,40,tree_with
12,0,0,31,31,0,0,0,random_walk,40,tree_with
13,0,0,30,30,0,0,0,random_walk,40,tree_with
14,0,0,28,28,0,0,0,random_walk,40,tree_with
15,0,0,15,15,0,0,0,random_walk,40,tree_with
16,0,0,8,8,0,0,0,random_walk,40,tree_with
17,0,0,9,9,0,0,0,random_walk,40,tree_with
18,0,0,13,13,0,0,0,random_walk,40,tree_with
19,0,0,14,7,7,0,0,random_walk,40,tree_with
20,0,0,13,0,0,0,0,random_walk,40,tree_with
21,0,0,15,0,0,0,0,random_walk,40,tree_with
22,0,0,13,0,0,0,0,random_walk,40,tree_with
23,0,0,12,0,0,0,0,random_walk,40,tree_with
24,0,0,16,0,0,0,0,random_walk,40,tree_with
25,0,0,16,0,0,0,0,random_walk,40,tree_with
26,0,0,15,0,0,0,0,random_walk,40,tree_with
27,0,0,16,0,0,0,0,random_walk,40,tree_with
28,0,0,14,0,0,0,0,random_walk,40,tree_with
29,0,0,19,0,0,0,0,random_walk,40,tree_with
30,0,0,9,0,0,0,0,random_walk,40,tree_with
31,0,0,8,0,0,0,0,random_walk,40,tree_with
32,0,0,7,0,0,0,0,random_walk,40,tree_with
33,0,0,5,0,0,0,0,random_walk,40,tree_with
34,0,0,3,0,0,0,0,random_walk,40,tree_with
35,0,0,7,0,0,0,0,random_walk,40,tree_with
36,0,0,2,0,0,0,0,random_walk,40,tree_with
37,0,0,6,0,0,0,0,random_walk,40,tree_with
38,0,0,7,0,0,0,0,random_walk,40,tree_with
39,7,0,7,0,7,0,0,random_walk,40,tree_with
