nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,20,20,20,0,0,60,120,normalized_flood,40,3_regular
1,0,0,24,19,3,0,0,normalized_flood,40,3_regular
2,0,0,9,6,2,0,0,normalized_flood,40,3_regular
3,0,0,17,15,2,0,0,normalized_flood,40,3_regular
4,0,0,22,18,3,0,0,normalized_flood,40,3_regular
5,0,0,15,12,2,0,0,normalized_flood,40,3_regular
6,0,0,15,10,4,0,0,normalized_flood,40,3_regular
7,0,0,16,9,6,0,0,normalized_flood,40,3_regular
8,0,0,23,15,2,0,0,normalized_flood,40,3_regular
9,0,0,19,16,1,0,0,normalized_flood,40,3_regular
10,0,0,15,12,2,0,0,normalized_flood,40,3_regular
11,0,0,49,39,10,0,0,normalized_flood,40,3_regular
12,0,0,40,33,4,0,0,normalized_flood,40,3_regular
13,0,0,68,60,6,0,0,normalized_flood,40,3_regular
14,0,0,14,13,1,0,0,normalized_flood,40,3_regular
15,0,0,9,7,2,0,0,normalized_flood,40,3_regular
16,0,0,62,58,3,0,0,normalized_flood,40,3_regular
17,0,0,17,14,1,0,0,normalized_flood,40,3_regular
18,20,0,20,0,20,0,0,normalized_flood,40,3_regular
19,0,0,24,15,9,0,0,normalized_flood,40,3_regular
20,0,0,19,18,1,0,0,normalized_flood,40,3_regular
21,0,0,10,7,2,0,0,normalized_flood,40,3_regular
22,0,0,28,22,3,0,0,normalized_flood,40,3_regular
23,0,0,34,28,4,0,0,normalized_flood,40,3_regular
24,0,0,26,15,8,0,0,normalized_flood,40,3_regular
25,0,0,11,8,2,0,0,normalized_flood,40,3_regular
26,0,0,29,24,5,0,0,normalized_flood,40,3_regular
27,0,0,25,17,5,0,0,normalized_flood,40,3_regular
28,0,0,21,20,1,0,0,normalized_flood,40,3_regular
29,0,0,22,19,3,0,0,normalized_flood,40,3_regular
30,0,0,56,45,10,0,0,normalized_flood,40,3_regular
31,0,0,52,44,6,0,0,normalized_flood,40,3_regular
32,0,0,16,9,2,0,0,normalized_flood,40,3_regular
33,0,0,60,53,5,0,0,normalized_flood,40,3_regular
34,0,0,38,33,4,0,0,normalized_flood,40,3_regular
35,0,0,33,27,5,0,0,normalized_flood,40,3_regular
36,0,0,14,8,6,0,0,normalized_flood,40,3_regular
37,0,0,11,7,3,0,0,normalized_flood,40,3_regular
38,0,0,23,18,3,0,0,normalized_flood,40,3_regular
39,0,0,26,20,5,0,0,normalized_flood,40,3_regular
