nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,25,25,25,0,0,65,130,normalized_flood,30,3_regular
1,0,0,25,14,9,0,0,normalized_flood,30,3_regular
2,0,0,51,43,8,0,0,normalized_flood,30,3_regular
3,0,0,28,21,4,0,0,normalized_flood,30,3_regular
4,0,0,21,13,7,0,0,normalized_flood,30,3_regular
5,0,0,87,75,10,0,0,normalized_flood,30,3_regular
6,0,0,47,35,9,0,0,normalized_flood,30,3_regular
7,0,0,29,18,11,0,0,normalized_flood,30,3_regular
8,0,0,26,17,7,0,0,normalized_flood,30,3_regular
9,0,0,47,35,10,0,0,normalized_flood,30,3_regular
10,0,0,43,32,7,0,0,normalized_flood,30,3_regular
11,0,0,34,23,8,0,0,normalized_flood,30,3_regular
12,0,0,79,72,7,0,0,normalized_flood,30,3_regular
13,0,0,56,46,8,0,0,normalized_flood,30,3_regular
14,0,0,25,19,5,0,0,normalized_flood,30,3_regular
15,0,0,39,25,8,0,0,normalized_flood,30,3_regular
16,0,0,72,59,11,0,0,normalized_flood,30,3_regular
17,0,0,49,37,10,0,0,normalized_flood,30,3_regular
18,25,0,25,0,25,0,0,normalized_flood,30,3_regular
19,0,0,19,15,4,0,0,normalized_flood,30,3_regular
20,0,0,36,27,7,0,0,normalized_flood,30,3_regular
21,0,0,51,39,10,0,0,normalized_flood,30,3_regular
22,0,0,59,50,8,0,0,normalized_flood,30,3_regular
23,0,0,27,19,7,0,0,normalized_flood,30,3_regular
24,0,0,18,14,3,0,0,normalized_flood,30,3_regular
25,0,0,19,15,4,0,0,normalized_flood,30,3_regular
26,0,0,41,29,8,0,0,normalized_flood,30,3_regular
27,0,0,40,30,8,0,0,normalized_flood,30,3_regular
28,0,0,67,49,13,0,0,normalized_flood,30,3_regular
29,0,0,33,21,8,0,0,normalized_flood,30,3_regular
