nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,18,18,18,0,0,69,138,random_walk,20,3_regular
1,0,0,17,10,3,0,0,random_walk,20,3_regular
2,0,0,71,60,10,0,0,random_walk,20,3_regular
3,0,0,44,39,4,0,0,random_walk,20,3_regular
4,18,0,18,0,18,0,0,random_walk,20,3_regular
5,0,0,73,66,5,0,0,random_walk,20,3_regular
6,0,0,28,17,2,0,0,random_walk,20,3_regular
7,0,0,42,31,10,0,0,random_walk,20,3_regular
8,0,0,34,18,12,0,0,random_walk,20,3_regular
9,0,0,48,34,4,0,0,random_walk,20,3_regular
10,0,0,26,19,5,0,0,random_walk,20,3_regular
11,0,0,33,24,4,0,0,random_walk,20,3_regular
12,0,0,30,21,5,0,0,random_walk,20,3_regular
13,0,0,43,38,5,0,0,random_walk,20,3_regular
14,0,0,20,13,5,0,0,random_walk,20,3_regular
15,0,0,40,32,3,0,0,random_walk,20,3_regular
16,0,0,35,20,9,0,0,random_walk,20,3_regular
17,0,0,45,38,2,0,0,random_walk,20,3_regular
18,0,0,73,65,6,0,0,random_walk,20,3_regular
19,0,0,19,17,1,0,0,random_walk,20,3_regular
