nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,40,40,40,0,0,20,60,flood,20,3_regular
1,0,0,40,20,20,0,0,flood,20,3_regular
2,0,0,40,20,20,0,0,flood,20,3_regular
3,0,0,60,20,20,0,0,flood,20,3_regular
4,40,0,40,0,40,0,0,flood,20,3_regular
5,0,0,20,20,0,0,0,flood,20,3_regular
6,0,0,20,20,0,0,0,flood,20,3_regular
7,0,0,40,20,20,0,0,flood,20,3_regular
8,0,0,20,20,0,0,0,flood,20,3_regular
9,0,0,40,40,0,0,0,flood,20,3_regular
10,0,0,40,20,0,0,0,flood,20,3_regular
11,0,0,40,20,20,0,0,flood,20,3_regular
12,0,0,20,20,0,0,0,flood,20,3_regular
13,0,0,20,20,0,0,0,flood,20,3_regular
14,0,0,40,20,20,0,0,flood,20,3_regular
15,0,0,40,40,0,0,0,flood,20,3_regular
16,0,0,40,20,20,0,0,flood,20,3_regular
17,0,0,40,20,0,0,0,flood,20,3_regular
18,0,0,40,20,20,0,0,flood,20,3_regular
19,0,0,40,20,0,0,0,flood,20,3_regular
