NodeID,IsSink,IsSource,QueryHits,ReceivedRequests,SentRequests,ForwardedQueryHits,TriedRequests,InitializedRequests
152,0,0,0,457,94,121,0,0
153,0,0,0,565,132,43,0,0
154,0,0,0,600,152,1,0,0
155,0,0,0,515,132,1,0,0
156,0,0,0,557,145,5,0,0
157,0,0,0,566,136,20,0,0
158,0,0,0,563,139,2,0,0
159,0,0,0,528,131,1,0,0
160,0,0,0,506,136,21,0,0
161,0,0,0,566,120,7,0,0
162,0,0,0,514,116,30,0,0
163,0,0,0,542,143,13,0,0
164,0,0,0,519,123,3,0,0
165,0,0,0,516,130,6,0,0
166,0,0,0,517,119,14,0,0
167,0,0,0,510,132,0,0,0
168,0,0,0,535,152,16,0,0
169,0,0,0,558,145,11,0,0
170,0,0,0,543,148,2,0,0
171,0,0,0,578,132,4,0,0
172,0,0,0,559,150,1,0,0
173,0,0,0,512,118,0,0,0
174,0,0,0,525,123,6,0,0
175,0,0,0,492,123,33,0,0
176,0,0,0,510,121,14,0,0
177,0,0,0,511,132,9,0,0
178,0,0,0,530,130,9,0,0
179,0,0,0,509,134,8,0,0
180,0,0,0,496,121,41,0,0
181,0,0,0,576,139,0,0,0
182,0,0,0,521,102,128,0,0
183,0,0,0,514,144,3,0,0
184,0,0,0,559,131,39,0,0
185,0,0,0,553,136,10,0,0
186,0,0,0,559,119,119,0,0
187,0,0,0,512,120,30,0,0
188,0,0,0,582,151,1,0,0
189,0,0,0,519,120,32,0,0
190,0,0,0,495,108,30,0,0
191,0,0,0,505,110,37,0,0
192,0,0,0,531,125,3,0,0
193,0,0,0,471,106,15,0,0
194,0,0,0,534,164,7,0,0
195,0,0,0,555,135,15,0,0
196,0,0,0,564,142,0,0,0
197,1,0,551,551,0,551,0,0
198,0,0,0,508,122,34,0,0
199,0,0,0,543,139,0,0,0
