nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,15,15,15,0,0,73,73,random_walk,10,tree_with
1,0,0,47,32,15,0,0,random_walk,10,tree_with
2,0,0,41,41,0,0,0,random_walk,10,tree_with
3,0,0,14,10,0,0,0,random_walk,10,tree_with
4,0,0,33,15,15,0,0,random_walk,10,tree_with
5,0,0,21,0,0,0,0,random_walk,10,tree_with
6,0,0,20,0,0,0,0,random_walk,10,tree_with
7,0,0,3,0,0,0,0,random_walk,10,tree_with
8,0,0,7,0,0,0,0,random_walk,10,tree_with
9,15,0,15,0,15,0,0,random_walk,10,tree_with
