nodeid,queryhits,uniquequeryhits,receivedrequests,sentrequests,forwardedqueryhits,triedrequests,initializedrequests,search_type,node_count,graph_type
0,6,6,6,0,0,91,91,normalized_flood,30,tree_with
1,0,0,47,47,0,0,0,normalized_flood,30,tree_with
2,0,0,50,44,6,0,0,normalized_flood,30,tree_with
3,0,0,22,22,0,0,0,normalized_flood,30,tree_with
4,0,0,25,25,0,0,0,normalized_flood,30,tree_with
5,0,0,24,24,0,0,0,normalized_flood,30,tree_with
6,0,0,26,20,6,0,0,normalized_flood,30,tree_with
7,0,0,13,9,0,0,0,normalized_flood,30,tree_with
8,0,0,9,5,0,0,0,normalized_flood,30,tree_with
9,0,0,11,10,0,0,0,normalized_flood,30,tree_with
10,0,0,14,12,0,0,0,normalized_flood,30,tree_with
11,0,0,9,9,0,0,0,normalized_flood,30,tree_with
12,0,0,15,10,0,0,0,normalized_flood,30,tree_with
13,0,0,13,10,0,0,0,normalized_flood,30,tree_with
14,0,0,13,6,6,0,0,normalized_flood,30,tree_with
15,0,0,4,0,0,0,0,normalized_flood,30,tree_with
16,0,0,5,0,0,0,0,normalized_flood,30,tree_with
17,0,0,1,0,0,0,0,normalized_flood,30,tree_with
18,0,0,4,0,0,0,0,normalized_flood,30,tree_with
19,0,0,4,0,0,0,0,normalized_flood,30,tree_with
20,0,0,6,0,0,0,0,normalized_flood,30,tree_with
21,0,0,8,0,0,0,0,normalized_flood,30,tree_with
22,0,0,4,0,0,0,0,normalized_flood,30,tree_with
23,0,0,6,0,0,0,0,normalized_flood,30,tree_with
24,0,0,3,0,0,0,0,normalized_flood,30,tree_with
25,0,0,4,0,0,0,0,normalized_flood,30,tree_with
26,0,0,6,0,0,0,0,normalized_flood,30,tree_with
27,0,0,4,0,0,0,0,normalized_flood,30,tree_with
28,0,0,6,0,0,0,0,normalized_flood,30,tree_with
29,6,0,6,0,6,0,0,normalized_flood,30,tree_with
